month	day	hour	minute	Doy (LT)	82Fac	OOA1	OOA2	91Fac
6	26	11	10	178.4652777778	0.189713	0.491844	0.0354914	0.0882118
6	26	11	20	178.4722222222	0.128688	0.5716	0.0569077	0.0268083
6	26	11	30	178.4791666667	0.229364	0.351052	0.0633296	0.0419705
6	26	11	40	178.4861111111	0.165971	0.48411	0.0750667	0.0276191
6	26	11	50	178.4930555556	0.208827	0.395375	0.104749	2.58E-08
6	26	12	0	178.5	0.243739	0.376456	0.115146	6.63E-08
6	26	12	10	178.5069444444	0.214471	0.591726	0.0725187	0.00892921
6	26	12	30	178.5208333333	0.153553	0.481946	0.0833509	0.0252971
6	26	12	40	178.5277777778	0.170067	0.414865	0.088031	0.0118651
6	26	12	50	178.5347222222	0.188786	0.410979	0.072186	0.0251411
6	26	12	0	178.5	0.125562	0.61287	0.0525424	0.00517877
6	26	13	10	178.5486111111	0.198148	0.459097	0.0707167	0.0444059
6	26	13	20	178.5555555556	0.16249	0.329056	0.12707	0.0234882
6	26	13	30	178.5625	0.168909	0.448772	0.126417	0.0339737
6	26	13	40	178.5694444444	0.184152	0.460611	0.0779428	0.0327345
6	26	13	50	178.5763888889	0.151055	0.466979	0.0471107	0.0228355
6	26	14	0	178.5833333333	0.129254	0.496098	0.0527501	2.02E-08
6	26	14	10	178.5902777778	0.0106939	0.648282	0.0348906	1.90E-08
6	26	14	20	178.5972222222	0.15655	0.497945	0.0757499	1.70E-07
6	26	14	30	178.6041666667	0.153388	0.615363	0.0918359	4.60E-08
6	26	14	40	178.6111111111	0.21886	0.482351	0.116282	2.73E-07
6	26	14	50	178.6180555556	0.152583	0.591709	0.0627288	0.00548208
6	26	15	0	178.625	0.193729	0.443679	0.102374	2.60E-06
6	26	15	20	178.6388888889	0.100302	0.580752	0.073521	0.0299379
6	26	15	30	178.6458333333	0.167076	0.453216	0.0863901	0.0403578
6	26	15	40	178.6527777778	0.165792	0.528813	0.0650916	0.0447513
6	26	15	50	178.6597222222	0.112637	0.561603	0.0594238	0.0751603
6	26	16	0	178.6666666667	0.224434	0.558014	0.0935473	0.0182891
6	26	16	10	178.6736111111	0.253214	0.494547	0.0762244	0.0305001
6	26	16	20	178.6805555556	0.22557	0.627037	0.0548064	0.00769734
6	26	16	30	178.6875	0.215753	0.59728	0.0535903	0.0300062
6	26	16	40	178.6944444444	0.25262	0.415242	0.0967774	0.0492044
6	26	16	50	178.7013888889	0.207268	0.615652	0.0603087	0.0495614
6	26	17	0	178.7083333333	0.275967	0.510106	0.0564426	0.0598564
6	26	17	10	178.7152777778	0.235214	0.444448	0.0266073	0.0273091
6	26	17	20	178.7222222222	0.270901	0.422856	0.0990078	2.94E-06
6	26	17	30	178.7291666667	0.263216	0.560975	0.0457881	0.128698
6	26	17	40	178.7361111111	0.255277	0.568038	0.07954	0.0711458
6	26	17	50	178.7430555556	0.254527	0.678473	0.0556134	0.0940349
6	26	18	0	178.75	0.257768	0.742903	0.0360024	0.104564
6	26	18	10	178.7569444444	0.191226	0.84953	0.0825542	0.148269
6	26	18	20	178.7638888889	0.2099	0.8421	0.0917731	0.098807
6	26	18	30	178.7708333333	0.230854	0.745876	0.0908222	0.105203
6	26	18	40	178.7777777778	0.240166	0.702357	0.0261752	0.169956
6	26	18	50	178.7847222222	0.243008	0.667605	0.0570627	0.0790463
6	26	19	0	178.7916666667	0.182714	0.674788	0.0467517	0.0549056
6	26	19	10	178.7986111111	0.196893	0.593179	0.0693046	0.0565504
