AOCTimewave, AmbTemp, DewPtTemp, DewPtTempTDL, H2Omr, PotTemp, RelHumidity, StaticPrs, VertWindSpd, WindDir, WindSpd
59646,18.312,3.276,-23.831,5.74,305.83,36.15,844.94,0.04,324.9,8.78
59647,18.168,3.008,-23.831,5.63,305.75,35.8,844.23,-0.38,324.38,8.64
59648,18.066,2.716,-23.83,5.52,305.71,35.29,843.63,-0.7,325.03,8.6
59649,18.156,2.353,-23.83,5.38,305.86,34.18,843.02,-0.74,327.69,8.93
59650,18.176,2.04,-23.83,5.27,305.95,33.38,842.38,-0.73,328.75,9.22
59651,18.26,1.769,-23.83,5.17,306.08,32.56,841.95,-0.67,327.97,9.4
59652,18.388,1.528,-23.829,5.08,306.27,31.73,841.51,-0.77,328.05,10.09
59653,18.676,1.316,-23.827,5.01,306.62,30.68,841.02,-0.98,327.57,10.98
59654,18.807,1.123,-23.826,4.94,306.81,30,840.51,-1.1,326.56,11.16
59655,19.002,0.924,-23.826,4.87,307.07,29.2,839.98,-1.02,325.1,11.39
59656,19.117,0.729,-23.826,4.81,307.23,28.57,839.6,-0.86,324.19,11.56
59657,19.228,0.534,-23.826,4.74,307.39,27.97,839.19,-0.71,322.89,11.39
59658,19.31,0.316,-23.826,4.67,307.52,27.39,838.76,-0.62,322.52,11.38
59659,19.295,0.12,-23.826,4.61,307.56,27.02,838.27,-0.65,322.39,11.38
59660,19.247,-0.112,-23.826,4.53,307.55,26.65,837.88,-0.57,322.33,11.33
59661,19.268,-0.365,-23.826,4.45,307.61,26.13,837.46,-0.39,322,11.27
59662,19.308,-0.65,-23.829,4.36,307.71,25.52,836.99,-0.14,322.25,11.29
59663,19.286,-0.987,-23.83,4.25,307.73,24.93,836.58,-0.02,323.18,11.35
59664,19.171,-1.294,-23.83,4.16,307.65,24.55,836.17,0.1,323.55,11.36
59665,19.039,-1.546,-23.83,4.09,307.56,24.3,835.73,0.31,325.04,11.52
59666,18.835,-1.82,-23.83,4.01,307.38,24.13,835.39,0.18,326.21,11.3
59667,18.577,-2.07,-23.83,3.93,307.14,24.08,835.07,-0.07,326.9,11.33
59668,18.414,-2.263,-23.831,3.88,307.01,23.99,834.69,-0.47,327,11.37
59669,18.43,-2.43,-23.831,3.83,307.08,23.66,834.21,-0.7,326.2,11.47
59670,18.47,-2.594,-23.831,3.79,307.15,23.32,833.93,-0.91,325.93,11.6
59671,18.545,-2.753,-23.83,3.75,307.25,22.93,833.67,-1.09,323.79,11.76
59672,18.638,-2.863,-23.83,3.72,307.4,22.61,833.25,-0.99,323.72,11.84
59673,18.678,-3.026,-23.831,3.67,307.51,22.28,832.6,-0.96,322.17,11.59
59674,18.776,-3.116,-23.831,3.65,307.66,21.99,832.11,-0.77,321.02,11.46
59675,18.876,-3.172,-23.83,3.64,307.8,21.76,831.76,-0.71,320.23,11.48
59676,18.918,-3.227,-23.832,3.63,307.89,21.61,831.38,-0.61,319.84,11.24
59677,18.937,-3.226,-23.831,3.63,307.96,21.58,830.94,-0.58,319.02,11.02
59678,18.968,-3.114,-23.831,3.66,308.04,21.72,830.44,-0.6,316.84,10.89
59679,19.084,-3.062,-23.83,3.68,308.2,21.64,830.07,-0.79,316.93,10.72
59680,19.161,-3.062,-23.83,3.68,308.34,21.54,829.56,-0.98,316.53,10.61
59681,19.186,-3.086,-23.83,3.67,308.41,21.46,829.09,-1.26,317.69,10.45
59682,19.156,-3.171,-23.83,3.65,308.45,21.37,828.42,-1.23,316.43,10.62
59683,19.115,-3.303,-23.829,3.62,308.47,21.21,827.9,-0.97,315.39,10.82
59684,19.007,-3.522,-23.829,3.56,308.41,21.01,827.34,-0.76,315.32,10.86
59685,18.976,-3.655,-23.827,3.53,308.45,20.84,826.65,-0.51,315.51,10.69
59686,18.996,-3.768,-23.828,3.5,308.54,20.64,826,-0.39,316.42,10.56
