HRNO3_Amb_CU	HROrg_Amb_CU	t_series_Local_Start
		3455984402
		3455984436
		3455984529
		3455984641
0.012	0.469	3455984677
		3455984769
		3455984882
		3455984917
		3455985009
		3455985122
-0.001	0.408	3455985157
		3455985249
		3455985362
		3455985397
		3455985489
		3455985602
0.016	0.445	3455985637
		3455985729
		3455985842
		3455985877
		3455985968
		3455986083
0.008	0.407	3455986118
		3455986210
		3455986322
		3455986357
		3455986449
		3455986563
0.006	0.349	3455986598
		3455986690
		3455986802
		3455986836
		3455986929
		3455987042
0.002	0.398	3455987077
		3455987169
		3455987282
		3455987317
		3455987410
		3455987522
0.008	0.327	3455987556
		3455987649
		3455987763
		3455987798
		3455987891
		3455988002
0.01	0.429	3455988037
		3455988129
		3455988242
		3455988277
		3455988370
		3455988483
0.008999999999999999	0.301	3455988518
		3455988609
		3455988722
		3455988758
		3455988850
		3455988962
0.008999999999999999	0.462	3455988997
		3455989089
		3455989203
		3455989238
		3455989330
		3455989442
-0.001	0.469	3455989477
		3455989569
		3455989682
		3455989717
		3455989809
		3455989922
0.008	0.298	3455989957
		3455990049
		3455990163
		3455990198
		3455990291
		3455990402
0.004	0.437	3455990437
		3455990529
		3455990642
		3455990677
		3455990769
		3455990883
0.019	0.36	3455990918
		3455991010
		3455991123
		3455991158
		3455991250
		3455991362
0.007	0.345	3455991397
		3455991490
		3455991602
		3455991637
		3455991730
		3455991842
0.01	0.346	3455991878
		3455991970
		3455992082
		3455992117
		3455992210
		3455992322
0.006	0.446	3455992357
		3455992450
		3455992562
		3455992597
		3455992690
		3455992802
-0.001	0.302	3455992837
		3455992930
		3455993042
		3455993077
		3455993170
		3455993282
0.007	0.362	3455993316
		3455993409
		3455993522
		3455993557
		3455993650
		3455993762
0.007	0.446	3455993797
		3455993889
		3455994002
		3455994037
		3455994129
		3455994243
0.007	0.426	3455994278
		3455994370
		3455994482
		3455994517
		3455994609
		3455994722
0.004	0.457	3455994757
		3455994849
		3455994962
		3455994997
		3455995091
		3455995203
0.008999999999999999	0.359	3455995238
		3455995332
		3455995443
		3455995477
		3455995569
		3455995682
0.008	0.429	3455995717
		3455995809
		3455995922
		3455995956
		3455996048
		3455996161
0.012	0.38	3455996196
		3455996289
		3455996402
		3455996437
		3455996529
		3455996642
0.014	0.423	3455996677
		3455996769
		3455996882
		3455996917
		3455997009
		3455997122
-0	0.45	3455997157
		3455997249
		3455997361
		3455997396
		3455997489
		3455997602
0.004	0.309	3455997637
		3455997729
		3455997842
		3455997877
		3455997969
		3455998082
0.005	0.344	3455998117
		3455998209
		3455998322
		3455998356
		3455998448
		3455998562
0.007	0.428	3455998597
		3455998689
		3455998802
		3455998836
		3455998929
		3455999042
0.014	0.36	3455999077
		3455999168
		3455999282
		3455999317
		3455999409
		3455999522
0.011	0.536	3455999556
		3455999648
		3455999762
		3455999797
		3455999889
		3456000003
0.013	0.339	3456000037
		3456000129
		3456000242
		3456000277
		3456000369
		3456000482
0.015	0.504	3456000516
		3456000608
		3456000722
		3456000757
		3456000849
		3456000962
0.005	0.439	3456000997
		3456001089
		3456001202
		3456001236
		3456001328
		3456001443
0.004	0.391	3456001477
		3456001569
		3456001682
		3456001717
		3456001809
		3456001922
0.008999999999999999	0.357	3456001957
		3456002049
		3456002162
		3456002197
		3456002289
		3456002402
0.006	0.333	3456002437
		3456002529
		3456002642
		3456002677
		3456002770
		3456002882
0.012	0.35	3456002916
		3456003008
		3456003122
		3456003156
		3456003248
		3456003361
0.01	0.4	3456003396
		3456003488
		3456003602
		3456003636
		3456003729
		3456003842
0.011	0.483	3456003877
		3456003970
		3456004082
		3456004117
		3456004209
		3456004322
0.008	0.379	3456004357
		3456004448
		3456004561
		3456004596
		3456004688
		3456004802
0.006	0.406	3456004836
		3456004928
		3456005042
		3456005077
		3456005169
		3456005282
0.01	0.433	3456005316
		3456005409
		3456005522
		3456005556
		3456005648
		3456005762
0.016	0.444	3456005796
		3456005889
		3456006002
		3456006036
		3456006129
		3456006244
0.01	0.347	3456006279
		3456006371
		3456006482
		3456006516
		3456006609
		3456006722
0.011	0.376	3456006757
		3456006848
		3456006962
		3456006997
		3456007089
		3456007203
0.013	0.533	3456007237
		3456007329
		3456007442
		3456007477
		3456007569
		3456007682
0.01	0.417	3456007717
		3456007809
		3456007922
		3456007957
		3456008049
		3456008162
0.008	0.215	3456008196
		3456008288
		3456008402
		3456008437
		3456008529
		3456008642
0.01	0.342	3456008678
		3456008770
		3456008882
		3456008916
		3456009008
		3456009121
0.006	0.452	3456009156
		3456009248
		3456009362
		3456009398
		3456009490
		3456009603
0.008999999999999999	0.316	3456009637
		3456009729
		3456009842
		3456009877
		3456009969
		3456010082
0.008	0.409	3456010117
		3456010209
		3456010322
		3456010356
		3456010449
		3456010562
0.005	0.435	3456010597
		3456010689
		3456010803
		3456010838
		3456010930
		3456011042
0.003	0.529	3456011076
		3456011168
		3456011282
		3456011316
		3456011408
		3456011522
0	0.386	3456011557
		3456011649
		3456011762
		3456011797
		3456011889
		3456012002
0.008	0.445	3456012037
		3456012129
		3456012242
		3456012277
		3456012369
		3456012482
0.014	0.459	3456012517
		3456012609
		3456012722
		3456012756
		3456012848
		3456012962
0.008999999999999999	0.297	3456012997
		3456013089
		3456013202
		3456013237
		3456013329
		3456013442
0.004	0.448	3456013477
		3456013568
		3456013682
		3456013717
		3456013809
		3456013922
0.004	0.408	3456013957
		3456014049
		3456014162
		3456014197
		3456014289
		3456014402
0.007		3456014437
		3456014529
		3456014642
		3456014677
		3456014769
		3456014882
0.01	0.481	3456014917
		3456015008
		3456015122
		3456015157
		3456015249
		3456015362
0.013	0.506	3456015396
		3456015488
		3456015602
		3456015637
		3456015729
		3456015842
0.007	0.413	3456015877
		3456015969
		3456016082
		3456016117
		3456016209
		3456016322
0.007	0.404	3456016357
		3456016449
		3456016562
		3456016597
		3456016689
		3456016802
0.003	0.397	3456016836
		3456016928
		3456017042
		3456017077
		3456017169
		3456017282
0.005	0.531	3456017317
		3456017409
		3456017522
		3456017556
		3456017648
		3456017762
		3456017797
		3456017889
		3456018002
		3456018036
		3456018128
		3456018242
0.016	0.461	3456018277
		3456018369
		3456018482
		3456018517
		3456018609
		3456018722
0.005	0.416	3456018757
		3456018850
		3456018962
		3456018996
		3456019088
		3456019202
0.006	0.511	3456019236
		3456019328
		3456019442
		3456019477
		3456019569
		3456019681
0.004	0.402	3456019716
		3456019809
		3456019922
		3456019957
		3456020048
		3456020162
0.01	0.496	3456020197
		3456020289
		3456020402
		3456020438
		3456020530
		3456020641
-0	0.549	3456020676
		3456020768
		3456020882
		3456020917
		3456021009
		3456021122
0.002	0.499	3456021157
		3456021249
		3456021362
		3456021396
		3456021488
		3456021601
0.01	0.42	3456021637
		3456021729
